Inquiry ID,Question,Viewed Response Matches,Unique User ID,First Name,Last Name,Question Source,Date/Time,Rating
518143,WHAT IS my routing number,"How do I determine my account number, routing number, or other information needed for fund transfers?",1199355,,,manual entry,1/1/2018 0:00,
518147,When will my funds b avail,What is my available balance?,1199357,,,manual entry,1/1/2018 0:01,
518150,"My overdrawn account disappeared, how do I pay off the debt?",How do I make a payment?,1199358,,,manual entry,1/1/2018 0:02,
518157,I lost my card,How do I get a replacement card?,1199361,,,manual entry,1/1/2018 0:03,
518179,Zelle,"How do I send, receive, or request money?",1199368,,,manual entry,1/1/2018 0:13,
518182,I have money in account but my card was declined?,Why was my card declined?,1199369,,,manual entry,1/1/2018 0:14,
518187,Sending money with zelle,"How do I send, receive, or request money?",1199368,,,manual entry,1/1/2018 0:14,
518196,Why was my mobile deposit declined,Why was my card declined?,1199370,,,manual entry,1/1/2018 0:15,
518197,Enrolling in zelle without us bank account,"How do I send, receive, or request money?",1199368,,,manual entry,1/1/2018 0:15,
518201,Where can I get routing number,"How do I determine my account number, routing number, or other information needed for fund transfers?",1199371,,,manual entry,1/1/2018 0:15,
518202,Mobile deposit faq,How do I use Mobile Check Deposit?,1199370,,,manual entry,1/1/2018 0:16,
518205,Is there a fee for sending money to an account,"How do I send, receive, or request money?",1199368,,,manual entry,1/1/2018 0:16,
518207,Stop payment,How do I stop a payment made from U.S. Bank?,1199372,,,manual entry,1/1/2018 0:16,
518211,Mobile check deposit faq,How do I use Mobile Check Deposit?,1199370,,,manual entry,1/1/2018 0:18,
518213,Can I reverse a Zella transfer?,"How do I send, receive, or request money?",1199374,,,manual entry,1/1/2018 0:19,
518217,How does the reciepient received money,How do I receive money?,1199368,,,manual entry,1/1/2018 0:20,
518221,How do I set up a pin number,How do I reset my PIN number?,1199375,,,manual entry,1/1/2018 0:21,
518228,Why is my card being declined,Why was my card declined?,1199377,,,manual entry,1/1/2018 0:27,
518230,CAN I transfer money from my checking account to my son's account,What are my options for transferring money?,1199378,,,manual entry,1/1/2018 0:29,
518231,What is the telephone number to call and report fraud,What should I do if I suspect fraud?,1199379,,,manual entry,1/1/2018 0:29,
518234,How do I stop a charge,How do I stop a payment made from U.S. Bank?,1199381,,,manual entry,1/1/2018 0:31,
518248,How do I find out my credit card pin,How do I get a replacement card?,1199386,,,manual entry,1/1/2018 0:38,
518250,My deposit is not showing up for ########,Transaction Inquiry - I do not recognize this transaction,1199385,,,manual entry,1/1/2018 0:39,
518253,How to change my password,How do I update my security settings?,1199387,,,manual entry,1/1/2018 0:39,
518257,How do I cancel a payment?,How do I cancel a payment to a business?,1199388,,,manual entry,1/1/2018 0:40,
518260,Send money Western Union,"How do I send, receive, or request money?",1199389,,,manual entry,1/1/2018 0:42,
518265,Can i deposite check via camera on my phone vs a scran,How do I use Mobile Check Deposit?,1199390,,,manual entry,1/1/2018 0:44,
518267,what is overdraft fee,Transaction Inquiry - I do not recognize this transaction,1199391,,,manual entry,1/1/2018 0:45,
518273,Zelle,"How do I send, receive, or request money?",1199394,,,manual entry,1/1/2018 0:52,
518274,What is my routing number,"How do I determine my account number, routing number, or other information needed for fund transfers?",1199395,,,manual entry,1/1/2018 0:53,
